,Count,1,10,12,20,22,30,32,42,50,52,61
1,140,15,25,12,3,0,5,2,1,8,2,67
10,58,23,11,0,2,2,0,0,0,2,1,17
12,33,8,1,0,1,1,1,0,0,3,0,18
20,49,13,8,22,0,4,0,0,0,1,0,1
22,9,0,1,0,7,0,0,0,0,0,0,1
30,10,2,1,3,1,1,0,0,0,0,0,2
32,11,1,0,0,0,0,0,0,0,4,0,6
42,13,1,0,0,0,0,1,0,0,2,0,9
50,104,28,9,4,3,2,3,2,6,0,1,46
52,24,1,0,0,0,0,0,0,0,0,0,23
61,262,73,11,17,3,1,3,6,24,43,72,9
